,pT1,pT2,pT3,pT4
337,46.375,42.125,28.125,17.6875
338,57.375,26.625,22.9375,16.5625
339,64.0,34.75,34.625,11.03125
340,54.375,23.5,27.875,18.625
341,38.875,11.5625,34.0,9.46875
342,50.125,20.6875,8.125,1.48828125
343,86.5,20.125,22.9375,16.625
344,48.75,37.125,23.875,11.40625
345,52.75,37.25,42.25,13.59375
346,63.375,30.5,23.375,4.640625
347,116.75,38.0,85.5,29.9375
348,50.75,16.4375,27.8125,5.03125
349,73.25,27.4375,29.0625,5.5625
350,62.875,41.625,20.9375,17.25
351,49.5,13.53125,30.25,4.21875
352,71.25,14.125,24.0,7.171875
353,57.25,36.875,19.75,11.96875
354,43.125,36.875,18.875,9.40625
355,64.25,21.875,37.875,22.0
356,37.375,30.5,33.375,12.3125
357,62.125,29.5,20.625,8.8125
358,68.25,33.5,28.875,14.09375
359,72.25,22.875,16.5,10.09375
360,51.625,38.25,14.6875,6.109375
361,91.5,25.0625,14.09375,9.9375
362,45.25,12.0625,18.3125,8.96875
363,33.125,30.0625,26.5,14.5
364,113.5,11.625,20.0,8.875
365,81.0,19.6875,60.0,12.40625
366,66.0,26.0,10.875,8.6875
367,40.875,38.375,50.25,3.1328125
368,46.625,34.25,30.875,18.6875
369,25.75,21.3125,38.625,10.25
370,78.25,22.375,11.6875,7.0
371,56.625,36.625,43.875,15.25
372,49.375,33.25,21.0,20.8125
373,67.25,14.8125,22.8125,12.625
374,65.25,17.1875,51.5,34.875
375,44.0,37.0,26.8125,2.484375
376,47.5,16.1875,18.1875,14.6875
377,86.25,17.625,22.6875,17.4375
378,46.875,9.75,35.5,8.40625
379,56.875,46.125,34.625,9.03125
380,39.25,28.4375,9.28125,4.75
381,113.5,15.5,50.375,8.3125
382,43.75,35.5,17.1875,12.90625
383,16.375,15.125,29.4375,8.25
384,43.25,20.75,43.875,15.125
385,37.75,26.625,36.625,23.3125
386,28.5625,18.625,42.0,16.75
387,53.5,42.5,15.65625,6.9375
388,68.5,18.25,28.0,3.8046875
389,114.5,68.5,16.375,7.984375
390,58.875,8.9375,18.1875,13.6875
391,62.0,20.625,26.875,10.0625
392,69.5,36.125,28.0625,10.46875
393,41.5,23.6875,25.8125,11.6875
394,49.375,33.25,54.5,9.1875
395,60.875,15.09375,16.0,15.4375
396,81.0,30.6875,9.125,4.125
397,104.75,15.5625,54.375,15.84375
398,66.25,27.5625,39.0,21.4375
399,45.5,35.0,29.875,9.40625
400,43.75,37.625,24.875,14.65625
401,36.625,24.6875,35.875,7.203125
402,48.625,30.3125,45.75,12.46875
403,72.75,29.375,21.0625,15.21875
404,50.875,7.984375,27.0625,23.0625
405,72.25,38.0,11.65625,5.6875
406,54.625,17.1875,19.4375,11.5625
407,63.375,14.875,29.375,14.78125
408,61.125,36.75,25.625,8.8125
409,94.25,52.375,30.75,23.875
410,36.5,7.46875,20.0,11.96875
411,46.75,26.9375,26.875,11.34375
412,67.25,20.875,46.125,11.46875
413,61.0,32.75,21.8125,13.28125
414,56.375,25.0625,34.75,15.0
415,180.5,12.96875,91.0,66.25
416,37.875,34.0,21.125,8.8125
417,33.875,19.125,19.6875,11.5
418,56.875,34.875,17.0,8.59375
419,53.25,33.625,52.375,6.953125
420,72.0,40.5,20.3125,8.25
421,52.0,34.625,12.5625,7.140625
422,75.5,16.875,25.0625,9.625
423,18.3125,8.96875,43.375,9.6875
424,34.75,24.1875,28.6875,22.625
425,57.5,24.625,33.5,6.0
426,43.625,29.3125,27.1875,8.5
427,32.75,4.890625,13.34375,9.90625
428,76.25,18.0625,50.25,6.921875
429,45.0,38.5,24.0625,20.875
430,92.0,13.3125,21.0625,8.0625
431,25.0,24.75,27.0625,20.125
432,57.375,28.9375,25.4375,8.25
433,85.25,15.15625,43.0,6.6875
434,67.5,28.6875,26.375,20.5
435,74.5,21.6875,19.0625,3.125
436,27.3125,21.25,24.125,9.625
437,71.25,24.8125,27.8125,20.4375
438,66.75,37.0,22.0,14.59375
439,55.125,16.75,42.875,36.5
440,53.125,38.25,29.875,13.40625
441,54.125,26.375,34.875,9.84375
442,55.625,32.375,33.375,15.46875
443,64.25,23.625,23.625,5.3125
444,48.5,35.625,35.5,12.375
445,47.0,29.375,12.03125,4.90625
446,41.0,34.375,28.0,26.75
447,64.75,25.125,29.625,12.0
448,100.0,23.125,25.3125,8.34375
449,49.0,15.78125,24.5625,0.9375
450,52.25,50.0,14.34375,6.6875
451,72.75,39.375,35.0,28.625
452,105.75,30.6875,35.75,26.875
453,23.625,12.3125,29.1875,23.0625
454,48.875,35.0,31.3125,18.625
455,68.75,19.375,33.5,22.1875
456,49.875,31.9375,25.0625,2.1640625
457,37.375,23.5,22.5625,7.96875
458,25.75,24.75,13.71875,6.46875
459,52.125,33.625,24.1875,2.3125
460,47.75,44.125,18.5625,16.125
461,41.875,34.875,18.3125,17.125
462,52.125,28.3125,13.84375,9.0625
463,39.0,18.4375,41.125,6.21875
464,43.375,26.5,51.5,10.1875
465,60.375,15.875,24.125,14.9375
466,70.75,26.75,31.6875,15.59375
467,30.9375,14.1875,40.25,7.53125
468,35.5,28.375,13.59375,2.015625
469,64.0,7.15625,36.375,33.25
470,96.75,21.75,42.125,5.890625
471,56.75,32.5,15.3125,4.0625
472,84.25,13.4375,27.625,16.125
473,49.75,40.625,16.9375,13.40625
474,78.0,41.0,56.0,31.4375
475,37.5,31.375,21.4375,7.953125
476,45.375,27.0,29.4375,12.5625
477,73.25,26.0625,26.9375,11.46875
478,63.375,17.9375,26.5625,6.875
479,51.625,31.625,22.875,20.5
480,45.75,30.3125,33.75,1.78515625
481,54.75,50.125,27.625,18.4375
482,42.375,30.125,49.125,4.390625
483,37.375,34.5,32.25,13.25
484,37.125,24.1875,39.0,23.8125
485,60.625,9.5,21.625,15.875
486,59.25,32.0,43.625,10.90625
487,89.5,27.9375,12.6875,1.87109375
488,42.125,17.5,34.875,11.75
489,44.75,18.5,40.25,7.671875
490,49.375,38.5,28.125,7.09375
491,44.625,11.28125,26.125,19.625
492,30.1875,12.1875,12.15625,4.828125
493,64.5,52.625,12.65625,9.03125
494,69.25,21.9375,26.6875,22.8125
495,76.0,69.0,42.625,1.89453125
496,34.375,17.8125,32.125,14.65625
497,51.0,28.75,35.875,18.0625
498,35.5,27.125,31.0,14.28125
499,43.75,19.125,25.6875,14.625
500,31.375,21.375,40.75,11.75
501,83.5,19.125,24.625,20.8125
502,67.75,28.9375,21.0,4.1875
503,75.5,53.5,27.6875,7.40625
504,68.5,54.875,22.0,17.4375
505,39.625,21.5,36.125,4.125
506,45.0,28.125,24.0,7.515625
507,72.5,28.4375,37.125,4.90625
508,45.625,35.875,25.6875,19.5625
509,55.25,28.9375,42.5,8.75
510,65.0,20.375,24.75,15.15625
511,79.75,26.5,14.8125,14.625
512,39.125,38.75,34.375,28.8125
513,54.625,47.75,20.0625,4.765625
514,92.75,82.5,101.5,28.625
515,25.1875,12.59375,18.5625,13.5
516,34.625,13.90625,20.4375,18.5
517,16.1875,11.21875,26.0625,11.78125
518,141.5,9.59375,14.4375,10.59375
519,58.875,28.6875,13.875,11.34375
520,61.0,9.25,41.875,29.3125
521,54.625,33.5,29.1875,6.15625
522,44.75,32.75,22.4375,15.875
523,64.5,23.5,25.6875,10.625
524,99.25,31.9375,51.0,40.0
525,105.75,18.0,31.125,6.921875
526,48.0,29.375,40.5,16.1875
527,80.5,21.125,10.6875,8.90625
528,52.75,36.5,36.5,19.75
529,37.5,30.5625,23.0,8.03125
530,79.25,35.5,15.09375,6.4375
531,40.75,36.5,25.75,12.0625
532,61.875,24.9375,21.75,11.40625
533,38.25,12.90625,12.3125,7.09375
534,42.5,32.0,33.75,29.0625
535,50.5,19.0,20.75,20.375
536,55.0,21.5625,27.625,11.65625
537,62.5,27.9375,16.0625,9.0
538,75.5,29.9375,17.5625,4.15625
539,70.75,21.625,15.53125,3.171875
540,77.25,20.8125,18.875,16.6875
541,43.0,21.9375,34.25,12.90625
542,61.625,38.375,29.5625,15.53125
543,60.875,22.125,31.4375,9.96875
544,43.125,28.3125,30.8125,11.71875
545,43.375,37.0,41.75,29.25
546,53.75,17.375,37.25,13.59375
547,28.5,21.0,26.3125,20.125
548,57.625,48.75,42.5,2.2578125
549,49.25,47.25,27.3125,17.125
550,69.5,45.25,25.125,12.03125
551,63.0,27.5,41.5,14.875
552,39.125,35.125,25.9375,9.3125
553,57.5,20.0,23.375,20.5625
554,56.0,38.75,28.6875,23.8125
555,63.5,38.875,16.0625,12.625
556,51.0,13.09375,43.375,7.4375
557,43.75,33.875,39.875,17.8125
558,52.625,36.25,17.5625,17.125
559,48.875,37.75,17.4375,7.328125
560,30.75,14.25,17.0625,3.0625
561,43.125,28.875,58.375,11.1875
562,53.625,26.4375,18.5,15.1875
563,37.125,26.875,27.875,24.3125
564,90.25,7.828125,33.625,12.78125
565,28.6875,15.4375,46.5,17.625
566,72.0,22.1875,34.5,12.125
567,105.25,7.265625,7.65625,4.125
568,84.0,6.765625,71.0,39.625
569,18.125,4.09375,13.90625,8.625
570,81.75,25.625,21.9375,10.09375
571,55.375,15.5,24.1875,23.5625
572,53.125,32.875,29.875,23.75
573,52.875,27.9375,38.625,14.0
574,62.25,10.21875,36.125,15.25
575,57.5,29.4375,33.75,19.1875
576,86.5,44.25,30.9375,27.5
577,56.875,36.5,23.75,1.70703125
578,43.875,31.0625,28.875,2.234375
579,43.75,13.75,22.5,12.03125
580,75.0,21.8125,45.625,11.875
581,47.75,12.1875,48.125,12.78125
582,65.25,13.28125,28.5,12.03125
583,51.5,29.4375,19.0625,13.40625
584,37.25,32.375,25.8125,5.875
585,53.5,31.1875,24.4375,1.390625
586,30.5,19.5625,28.625,18.25
587,41.0,38.5,34.0,3.609375
588,65.25,25.6875,42.5,9.59375
589,63.75,49.375,37.25,8.21875
590,57.875,38.625,39.25,17.125
591,40.75,40.25,37.375,11.59375
592,39.125,22.0,32.5,3.2890625
593,95.75,51.25,44.875,41.875
594,64.25,41.875,45.25,7.734375
595,40.5,35.125,29.5625,21.75
596,91.25,28.125,70.75,21.875
597,100.25,1.5546875,30.0,8.4375
598,60.375,17.3125,21.1875,12.15625
599,92.75,30.3125,12.46875,8.75
600,72.75,61.75,11.75,5.5
601,56.625,33.875,32.625,3.15625
602,84.5,16.8125,16.875,14.71875
603,57.75,35.5,36.25,12.625
604,55.375,29.125,17.0,13.28125
605,82.25,47.75,9.34375,7.890625
606,54.125,15.90625,11.75,8.0625
607,31.1875,17.9375,38.25,15.8125
608,53.25,47.625,10.96875,9.34375
609,27.8125,27.25,27.5,8.34375
610,68.0,23.25,41.875,25.4375
611,63.5,22.3125,13.375,6.4375
612,82.75,23.4375,20.25,6.390625
613,88.75,16.875,33.0,10.59375
614,47.875,23.9375,36.5,10.375
615,34.0,19.5,37.75,6.03125
616,69.25,31.75,16.375,14.8125
617,37.125,24.8125,38.125,10.4375
618,70.0,13.125,9.03125,4.59375
619,41.0,32.125,27.3125,3.5625
620,31.5625,19.1875,15.0625,7.21875
621,27.625,27.0625,39.75,21.75
622,25.6875,23.375,48.875,12.4375
623,61.5,30.5,12.59375,7.359375
624,49.0,25.8125,25.5,23.4375
625,45.25,34.5,29.9375,17.125
626,55.875,28.3125,27.5,13.28125
627,35.625,29.8125,19.9375,12.65625
628,64.75,32.875,12.03125,7.09375
629,42.875,9.1875,20.375,9.875
630,59.75,18.5,28.5625,9.1875
631,31.0625,31.0625,30.0,24.0625
632,82.0,61.75,9.40625,8.28125
633,47.25,20.5,21.875,19.875
634,161.0,15.0625,52.25,5.375
635,51.875,41.125,65.5,26.375
636,38.375,21.0625,34.875,12.5625
637,59.25,20.3125,46.875,15.1875
638,59.5,31.25,37.75,8.78125
639,53.25,30.875,14.84375,7.40625
640,50.875,36.125,28.25,24.75
641,69.75,3.421875,24.5625,13.78125
642,86.5,16.5,64.75,32.125
643,41.875,20.625,33.25,11.03125
644,35.375,12.65625,12.4375,12.34375
645,99.5,21.4375,46.75,13.625
646,59.375,24.625,33.25,11.96875
647,44.25,35.375,27.1875,14.90625
648,50.75,46.5,32.25,13.375
649,38.75,29.4375,26.1875,26.0
650,76.75,37.75,24.125,13.78125
651,41.75,36.375,34.5,21.4375
652,67.25,32.875,55.0,25.8125
